Дата,Товар,Цена (цена закупки),Количество,Сумма
12.06.2017,,,,
12:17,Banana,8 (5),3,24
12:17,Apple,6 (4),4,24
12:17,Milk,20 (10),1,20
12:17,Apple,6 (4),1,6
Прибыль за день: 74,Чистая прибыль за день: 29,,,
,,,,
15.06.2017,,,,
09:40,Banana,8 (5),3,24
09:40,Milk,20 (10),1,20
09:40,Apple,6 (4),5,30
09:50,Apple,6 (4),1,6
10:02,8 Trainings,400 (0),1,400
Прибыль за день: 480,Чистая прибыль за день: 431,,,
,,,,
16.06.2017,,,,
14:57,8 Trainings,400 (0),1,400
14:57,12 Trainings,500 (0),1,500
15:01,Test,3 (12),3,9
Прибыль за день: 909,Чистая прибыль за день: 873,,,
,,,,
Прибыль: 1463,Чистая прибыль: 1333,,,
